9,4.5,3,1.5,1
8,4.0,10,5.0,5
10,5.0,2,1.0,5
4,2.0,3,1.5,12
5,2.5,5,2.5,13
6,3.0,8,4.0,20
9,4.5,1,0.5,13
4,2.0,7,3.5,11
6,3.0,7,3.5,2
4,2.0,8,4.0,14
7,3.5,4,2.0,2
1,0.5,7,3.5,4
1,0.5,6,3.0,20
6,3.0,1,0.5,12
8,4.0,6,3.0,20
7,3.5,2,1.0,13
10,5.0,8,4.0,2
4,2.0,2,1.0,13
1,0.5,5,2.5,11
6,3.0,4,2.0,3
10,5.0,7,3.5,18
7,3.5,1,0.5,6
3,1.5,8,4.0,14
2,1.0,6,3.0,14
6,3.0,6,3.0,1
1,0.5,8,4.0,19
2,1.0,1,0.5,20
3,1.5,6,3.0,20
5,2.5,7,3.5,17
8,4.0,7,3.5,10
4,2.0,4,2.0,19
8,4.0,4,2.0,1
3,1.5,1,0.5,5
9,4.5,2,1.0,4
1,0.5,4,2.0,13
10,5.0,9,4.5,9
2,1.0,6,3.0,11
1,0.5,8,4.0,2
5,2.5,6,3.0,13
3,1.5,4,2.0,13
1,0.5,10,5.0,2
5,2.5,7,3.5,8
5,2.5,1,0.5,8
4,2.0,3,1.5,2
10,5.0,8,4.0,15
6,3.0,2,1.0,18
9,4.5,8,4.0,13
10,5.0,2,1.0,19
8,4.0,2,1.0,1
5,2.5,9,4.5,16
